LABEL,Value,StdDev
SPB_1910,469866,146495
SPB_1911,469866,146495
SPB_1912,469860,146495
SPB_1913,469848,146494
SPB_1914,469830,146494
SPB_1915,469806,146493
SPB_1916,469776,146492
SPB_1917,469735,146498
SPB_1918,469619,146537
SPB_1919,469467,146652
SPB_1920,469297,146853
SPB_1921,469135,147120
SPB_1922,468911,147422
SPB_1923,468574,147729
SPB_1924,468200,148023
SPB_1925,467706,148290
SPB_1926,467179,148527
SPB_1927,466671,148732
SPB_1928,466077,148903
SPB_1929,465509,149044
SPB_1930,464878,149156
SPB_1931,464304,149245
SPB_1932,463823,149313
SPB_1933,463369,149363
SPB_1934,462947,149395
SPB_1935,462489,149411
SPB_1936,461944,149408
SPB_1937,461324,149388
SPB_1938,460657,149353
SPB_1939,460013,149302
SPB_1940,459069,149227
SPB_1941,458061,149133
SPB_1942,457005,149017
SPB_1943,455742,148873
SPB_1944,453279,148675
SPB_1945,452057,148475
SPB_1946,450320,148230
SPB_1947,448183,147935
SPB_1948,446209,147598
SPB_1949,443481,147189
SPB_1950,439762,146695
SPB_1951,434756,146100
SPB_1952,429309,145412
SPB_1953,423200,144620
SPB_1954,419132,143782
SPB_1955,414482,142837
SPB_1956,409953,141804
SPB_1957,405383,140694
SPB_1958,401180,139540
SPB_1959,396968,138379
SPB_1960,393362,137292
SPB_1961,389373,136345
SPB_1962,387193,135698
SPB_1963,386012,135443
SPB_1964,385954,135675
SPB_1965,388093,136453
SPB_1966,392157,137706
SPB_1967,397437,139275
SPB_1968,403949,141014
SPB_1969,409958,142811
SPB_1970,414477,144682
SPB_1971,419193,146796
SPB_1972,425820,149316
SPB_1973,431550,152141
SPB_1974,437983,155018
SPB_1975,444120,157516
SPB_1976,447437,159244
SPB_1977,447599,160017
SPB_1978,445617,159807
SPB_1979,440070,158586
SPB_1980,429735,156378
SPB_1981,419622,153460
SPB_1982,408010,150104
SPB_1983,393918,146659
SPB_1984,381420,143510
SPB_1985,370120,140699
SPB_1986,358570,138159
SPB_1987,349662,135955
SPB_1988,340868,134046
SPB_1989,332854,132391
SPB_1990,324399,130916
SPB_1991,317819,129587
SPB_1992,309617,128341
SPB_1993,302904,127324
SPB_1994,298655,126856
SPB_1995,300146,127422
SPB_1996,303874,129118
SPB_1997,308715,131701
SPB_1998,316856,135102
SPB_1999,328510,139338
SPB_2000,340701,143987
SPB_2001,352007,148244
SPB_2002,361507,151453
SPB_2003,368402,153547
SPB_2004,373512,155049
SPB_2005,379112,156414
SPB_2006,384556,157675
SPB_2007,390893,159009
SPB_2008,396088,160426
SPB_2009,398921,161309
SPB_2010,397836,160936
SPB_2011,393507,159200
SPB_2012,386143,156514
SPB_2013,377601,153376
SPB_2014,329875,133457
SPB_2015,289904,116667
SPB_2016,257415,102833
SPB_2017,231552,91614.6
SPB_2018,211322,82643.1
SPB_2019,195658,75563.5
SPB_2020,183522,70048.2
SPB_2021,174030,65800.9
SPB_2022,166488,62552.9
