LABEL,Value,StdDev
SPB_1928,32760.2,2250.8
SPB_1929,32752.9,2250.9
SPB_1930,32670.9,2251.8
SPB_1931,32610.8,2256.86
SPB_1932,32595.2,2287.74
SPB_1933,32583.3,2401.06
SPB_1934,32553.2,2632.07
SPB_1935,32552.7,2939.88
SPB_1936,32563.1,3265.43
SPB_1937,32555.4,3571.63
SPB_1938,32575.8,3841.54
SPB_1939,32538.2,4071.39
SPB_1940,32501.4,4262.05
SPB_1941,32417.7,4417.62
SPB_1942,32034.8,4542.92
SPB_1943,31742.8,4642.78
SPB_1944,31346.8,4721.27
SPB_1945,30496.6,4781.86
SPB_1946,30051.3,4829.98
SPB_1947,29590.7,4866.34
SPB_1948,29599.2,4895.75
SPB_1949,29523.7,4917.08
SPB_1950,28959.7,4932.52
SPB_1951,28649.6,4947.31
SPB_1952,28274.5,4957.88
SPB_1953,28126.6,4964.72
SPB_1954,28322.2,4966.48
SPB_1955,28327,4957.94
SPB_1956,27912.7,4937.46
SPB_1957,27820.4,4908.03
SPB_1958,27632.8,4860.87
SPB_1959,27527,4795.85
SPB_1960,27012.4,4708.51
SPB_1961,26206.3,4603.03
SPB_1962,25575.7,4484.66
SPB_1963,25506.1,4358.52
SPB_1964,25818.8,4230.07
SPB_1965,26143.7,4111.52
SPB_1966,26320.2,4013.88
SPB_1967,26575.1,3942.15
SPB_1968,27045.1,3928.26
SPB_1969,28556.9,4013.77
SPB_1970,30565,4133.16
SPB_1971,31866.7,4180.41
SPB_1972,31906.3,4123.77
SPB_1973,31423.7,3992.48
SPB_1974,30844.8,3818.94
SPB_1975,30543,3617.57
SPB_1976,29962.4,3399.31
SPB_1977,28748.8,3167.9
SPB_1978,27180.5,2928.12
SPB_1979,25579.3,2687.83
SPB_1980,23343.4,2453.85
SPB_1981,21209.2,2230.01
SPB_1982,19509.6,2017.41
SPB_1983,17905.3,1815.66
SPB_1984,16005.8,1631.01
SPB_1985,13992.1,1455.85
SPB_1986,11778.2,1294.06
SPB_1987,10936.8,1145.65
SPB_1988,9793.09,1012.84
SPB_1989,8782.23,892.965
SPB_1990,7560.14,783.397
SPB_1991,6478.51,686.863
SPB_1992,4835.46,606.61
SPB_1993,3996.27,538.314
SPB_1994,3348.73,485.28
SPB_1995,3217.33,454.757
SPB_1996,3558.97,458.86
SPB_1997,3825.29,495.64
SPB_1998,3991.93,556.311
SPB_1999,4610.34,637.093
SPB_2000,5243.71,733.945
SPB_2001,6030.04,837.749
SPB_2002,6839.53,948.899
SPB_2003,7837.18,1093.39
SPB_2004,9437.17,1315.25
SPB_2005,11688.7,1632.27
SPB_2006,14270.5,2015.09
SPB_2007,16709.5,2406.59
SPB_2008,18773.7,2761.99
SPB_2009,20484.4,3079.22
SPB_2010,20528.9,3086.4
SPB_2011,20551.8,3088.9
SPB_2012,20402.4,3053.13
SPB_2013,20033.4,2964.9
SPB_2014,19542.6,2852.88
SPB_2015,19018,2741.52
SPB_2016,18507.3,2640.4
SPB_2017,18025.2,2550.99
SPB_2018,17576.7,2472.68
