LABEL,Value,StdDev
SPB_1928,22578.5,1443.71
SPB_1929,22542.4,1443.69
SPB_1930,22397.5,1444.23
SPB_1931,22209.6,1450.17
SPB_1932,22036.8,1478.92
SPB_1933,21974.4,1561.93
SPB_1934,21724.8,1716.54
SPB_1935,21657,1918.76
SPB_1936,21531.9,2138.77
SPB_1937,21495.7,2350.41
SPB_1938,21378.5,2542.58
SPB_1939,21326,2708.41
SPB_1940,21329.5,2847.6
SPB_1941,21292.3,2962.06
SPB_1942,21312.3,3053.97
SPB_1943,21424,3126.32
SPB_1944,21393.5,3181.58
SPB_1945,21352.6,3222.37
SPB_1946,21316.4,3250.81
SPB_1947,21099.1,3268
SPB_1948,20501.1,3274.59
SPB_1949,19876.6,3272.54
SPB_1950,19398.4,3263.43
SPB_1951,18862.6,3246.78
SPB_1952,18379.1,3224.1
SPB_1953,18099,3197.22
SPB_1954,18019.2,3166.19
SPB_1955,17908.2,3129.04
SPB_1956,17780.1,3086.83
SPB_1957,17605.3,3039.33
SPB_1958,17147.1,2984.35
SPB_1959,16699.6,2924.93
SPB_1960,16363.5,2860.91
SPB_1961,16105.8,2790.54
SPB_1962,15806.4,2711.88
SPB_1963,15615.8,2627.25
SPB_1964,15420.6,2534.98
SPB_1965,15303.4,2436.84
SPB_1966,15112.1,2330.86
SPB_1967,14815.8,2218.18
SPB_1968,14451,2101.03
SPB_1969,14056.6,1980.71
SPB_1970,13715.3,1858.61
SPB_1971,13133.8,1728.62
SPB_1972,12398.2,1592.06
SPB_1973,11271.7,1439.18
SPB_1974,10189,1270.95
SPB_1975,9209.41,1083.75
SPB_1976,8485.51,899.212
SPB_1977,7739.28,739.619
SPB_1978,7441.84,633.758
SPB_1979,6830.97,553.419
SPB_1980,5863.55,484.039
SPB_1981,4922.46,429.084
SPB_1982,4174.28,394.386
SPB_1983,3475.92,361.001
SPB_1984,3187.48,334.84
SPB_1985,2861.66,316.123
SPB_1986,2357.58,296.436
SPB_1987,2198.17,262.608
SPB_1988,2185.68,223.436
SPB_1989,2099.51,194.379
SPB_1990,1832.13,172.641
SPB_1991,1668.78,152.19
SPB_1992,1572.21,139.704
SPB_1993,1495.09,142.867
SPB_1994,1559.25,153.117
SPB_1995,1852.95,169.679
SPB_1996,2138.62,195.514
SPB_1997,2315.98,228.924
SPB_1998,2484.64,266.9
SPB_1999,2809.24,313.266
SPB_2000,3156.74,372.008
SPB_2001,3808.64,450.487
SPB_2002,4693.49,557.174
SPB_2003,5787.83,713.215
SPB_2004,7278.44,951.038
SPB_2005,9699.23,1266.39
SPB_2006,12233.2,1623.65
SPB_2007,14651.6,1986.86
SPB_2008,16860.9,2319.95
SPB_2009,18655.8,2589.31
SPB_2010,18250,2525.75
SPB_2011,17974.7,2491.06
SPB_2012,18066.2,2539.53
SPB_2013,18131.9,2589.65
SPB_2014,17874.9,2567.19
SPB_2015,17325.1,2477.19
SPB_2016,16623.4,2352.76
SPB_2017,15875.7,2220.97
SPB_2018,15154.7,2098.6
