LABEL,Value,StdDev
SPB_1889,37974,0
SPB_1890,37903.4,0
SPB_1891,37834,0
SPB_1892,37768.4,0
SPB_1893,37682,0
SPB_1894,37625.2,0
SPB_1895,37576.1,0
SPB_1896,37526.6,0
SPB_1897,37465.6,0
SPB_1898,37411,0
SPB_1899,37423.9,0
SPB_1900,37456.7,0
SPB_1901,37481.7,0
SPB_1902,37504.3,0
SPB_1903,37523.9,0
SPB_1904,37540.4,0
SPB_1905,37547,0
SPB_1906,37561.9,0
SPB_1907,37574.3,0
SPB_1908,37584.3,0
SPB_1909,37602.9,0
SPB_1910,37523.2,0
SPB_1911,37445.6,0
SPB_1912,37373,0
SPB_1913,37306.7,0
SPB_1914,37247.1,0
SPB_1915,37194,0
SPB_1916,37051.2,0
SPB_1917,36815.9,0
SPB_1918,36597.7,0
SPB_1919,36298.1,0
SPB_1920,36314.2,0
SPB_1921,36375.9,0
SPB_1922,36450,0
SPB_1923,36568.9,0
SPB_1924,36686.8,0
SPB_1925,36720,0
SPB_1926,36702.4,0
SPB_1927,36657.9,0
SPB_1928,36569,0
SPB_1929,36530,0
SPB_1930,36307.2,0
SPB_1931,36124,0
SPB_1932,36131,0
SPB_1933,36145.5,0
SPB_1934,36066.3,0
SPB_1935,35888,0
SPB_1936,35697.6,0
SPB_1937,35386.5,0
SPB_1938,35066.4,0
SPB_1939,34422.4,0
SPB_1940,33916.6,0
SPB_1941,33107.3,0
SPB_1942,32459.2,0
SPB_1943,31454,0
SPB_1944,30677.3,0
SPB_1945,29334.4,0
SPB_1946,28700.6,0
SPB_1947,27752.3,0
SPB_1948,27740.9,0
SPB_1949,27293.7,0
SPB_1950,27132.8,0
SPB_1951,27048.7,0
SPB_1952,26804.5,0
SPB_1953,26910.4,0
SPB_1954,27503.9,0
SPB_1955,27781.3,0
SPB_1956,27399.9,0
SPB_1957,27330.3,0
SPB_1958,27178.5,0
SPB_1959,26902.8,0
SPB_1960,25974.9,0
SPB_1961,24807.9,0
SPB_1962,23804,0
SPB_1963,23697.4,0
SPB_1964,23964.6,0
SPB_1965,23833.7,0
SPB_1966,23699.8,0
SPB_1967,23934.4,0
SPB_1968,24198,0
SPB_1969,24325.4,0
SPB_1970,25253.9,0
SPB_1971,26220.7,0
SPB_1972,26869.2,0
SPB_1973,27705.9,0
SPB_1974,28097.7,0
SPB_1975,27973.6,0
SPB_1976,27348.5,0
SPB_1977,26317.5,0
SPB_1978,25071.2,0
SPB_1979,23934.9,0
SPB_1980,21874.4,0
SPB_1981,20898,0
SPB_1982,22141.6,0
SPB_1983,23612.8,0
SPB_1984,21767.7,0
SPB_1985,18856.9,0
SPB_1986,15390.2,0
SPB_1987,14369.4,0
SPB_1988,13418.1,0
SPB_1989,13688.3,0
SPB_1990,12039.6,0
SPB_1991,10313.8,0
SPB_1992,7666.81,0
SPB_1993,7391.19,0
SPB_1994,7566.78,0
SPB_1995,8005.54,0
SPB_1996,8526.56,0
SPB_1997,8233.52,0
SPB_1998,7847.52,0
SPB_1999,8771.97,0
SPB_2000,9520.78,0
SPB_2001,10371.2,0
SPB_2002,11128.9,0
SPB_2003,12014.7,0
SPB_2004,13331.1,0
SPB_2005,14711.3,0
SPB_2006,15569.2,0
SPB_2007,15833.2,0
SPB_2008,15841.7,0
SPB_2009,15626.9,0
SPB_2010,15441,0
SPB_2011,15912,0
SPB_2012,17522,0
SPB_2013,19235,0
SPB_2014,20365.8,0
SPB_2015,20938.8,0
SPB_2016,21257.7,0
SPB_2017,21975.7,0
SPB_2018,21930,0
SPB_2019,22210.1,0
SPB_2020,21056.4,0
SPB_2021,19978.9,0
SPB_2022,19069,0
SPB_2023,18330.4,0
SPB_2024,17728.9,0
SPB_2025,17230.9,0
SPB_2026,16812.7,0
SPB_2027,16458.8,0
SPB_2028,16159.4,0
