LABEL,Value,StdDev
SPB_1889,20259.9,2528.33
SPB_1890,20259.9,2528.33
SPB_1891,20243.4,2528.18
SPB_1892,20211.2,2547.22
SPB_1893,20164.5,2682.5
SPB_1894,20104.7,2953.04
SPB_1895,20033.2,3274.62
SPB_1896,19951.3,3583.09
SPB_1897,19860.4,3850.37
SPB_1898,19761.8,4068.76
SPB_1899,19656.3,4240.35
SPB_1900,19545.1,4371.86
SPB_1901,19428.8,4470.39
SPB_1902,19308.1,4542.82
SPB_1903,19183.7,4595.21
SPB_1904,19056.1,4632.47
SPB_1905,18925.6,4658.48
SPB_1906,18792.6,4676.21
SPB_1907,18657.4,4687.86
SPB_1908,18520.3,4695.08
SPB_1909,18381.4,4699.08
SPB_1910,18241,4700.73
SPB_1911,18099.1,4700.67
SPB_1912,17956,4699.38
SPB_1913,17811.7,4697.18
SPB_1914,17666.3,4694.36
SPB_1915,17519.8,4691.06
SPB_1916,17372.3,4687.41
SPB_1917,17224,4683.52
SPB_1918,17074.7,4679.47
SPB_1919,16924.6,4675.31
SPB_1920,16773.7,4671.08
SPB_1921,16622,4666.82
SPB_1922,16469.4,4662.55
SPB_1923,16316.2,4658.28
SPB_1924,16162.2,4654.03
SPB_1925,16007.4,4649.82
SPB_1926,15852,4645.64
SPB_1927,15695.8,4641.52
SPB_1928,15539,4637.45
SPB_1929,15381.5,4633.45
SPB_1930,15221.5,4629.5
SPB_1931,15059.2,4625.62
SPB_1932,14894.6,4621.81
SPB_1933,14941.6,4620.11
SPB_1934,14669,4615.41
SPB_1935,14768.4,4615.07
SPB_1936,14776.1,4613.06
SPB_1937,14902.5,4612.69
SPB_1938,14930.3,4611.3
SPB_1939,14976.8,4610.51
SPB_1940,15189.7,4610.26
SPB_1941,15327.1,4608.1
SPB_1942,15535.1,4606.11
SPB_1943,15891.8,4604.26
SPB_1944,16002,4598.58
SPB_1945,16094.9,4591.7
SPB_1946,16183.7,4582.69
SPB_1947,15995.7,4568.51
SPB_1948,15201,4546.45
SPB_1949,14592.4,4523.5
SPB_1950,14227.5,4500.52
SPB_1951,13889.5,4477.91
SPB_1952,13734.8,4461.37
SPB_1953,13488.6,4449.89
SPB_1954,13468,4445.47
SPB_1955,13461.5,4439.58
SPB_1956,13839.3,4429.6
SPB_1957,13768.1,4399.59
SPB_1958,13655.2,4357.88
SPB_1959,13457.5,4299.96
SPB_1960,13220.2,4213.12
SPB_1961,12906.1,4081.18
SPB_1962,12511.9,3920.86
SPB_1963,12460.4,3768.66
SPB_1964,12655.7,3639.1
SPB_1965,13078.1,3526.1
SPB_1966,13261.2,3396.13
SPB_1967,13204.1,3236.87
SPB_1968,12997.9,3062.43
SPB_1969,12753.4,2887.03
SPB_1970,12610.3,2713.24
SPB_1971,12306.1,2540.89
SPB_1972,11754.7,2371.82
SPB_1973,10565.7,2187.19
SPB_1974,9220.8,1986.14
SPB_1975,7785.95,1771.28
SPB_1976,6777.14,1539.76
SPB_1977,6206.85,1319.06
SPB_1978,6460.09,1173.9
SPB_1979,6633.25,1033.4
SPB_1980,6495.2,877.252
SPB_1981,5989.49,763.108
SPB_1982,5545.75,709.371
SPB_1983,5125.76,683.853
SPB_1984,4685.04,680.518
SPB_1985,3984.67,659.227
SPB_1986,3240.34,616.624
SPB_1987,3301.99,586.396
SPB_1988,3775.84,593.057
SPB_1989,3947.71,583.949
SPB_1990,3554.28,541.446
SPB_1991,3050.92,499.564
SPB_1992,2585.14,456.122
SPB_1993,2264.36,419.985
SPB_1994,2109.42,399.548
SPB_1995,2144.72,395.267
SPB_1996,2020.86,395.769
SPB_1997,1865.1,408.354
SPB_1998,1753.41,440.313
SPB_1999,1936.26,500.142
SPB_2000,2123.69,583.703
SPB_2001,2411.28,667.632
SPB_2002,2879.4,794.732
SPB_2003,3457.48,1016.41
SPB_2004,3780.81,1273.39
SPB_2005,4398,1491.18
SPB_2006,4667.15,1645.15
SPB_2007,4757.42,1732.42
SPB_2008,4680.99,1745.41
SPB_2009,4496.27,1697.68
SPB_2010,4231.56,1617.22
SPB_2011,4065.3,1541.64
SPB_2012,4032.09,1505.77
SPB_2013,4241.52,1539.64
SPB_2014,4674.44,1667.2
SPB_2015,5209.26,1878.49
SPB_2016,5826.64,2176.53
SPB_2017,6508.8,2492.33
SPB_2018,6423.96,2706.74
SPB_2019,6054.83,2797.94
SPB_2020,5855.32,2430.62
SPB_2021,6012.02,2263.77
SPB_2022,6329.28,2297.34
SPB_2023,6620.98,2426.1
SPB_2024,6848.49,2579.04
SPB_2025,7028.42,2730.97
SPB_2026,7182,2878.57
SPB_2027,7317.98,3020.83
SPB_2028,7439.21,3155.78
SPB_2029,7545.31,3280.7
SPB_2030,7637.32,3394.12
SPB_2031,7716.46,3495.62
SPB_2032,7784.32,3585.61
