LABEL,Value,StdDev
SPB_1876,33476.6,4197.99
SPB_1877,33475.9,4198.91
SPB_1878,33475.4,4199.59
SPB_1879,33474.8,4200.09
SPB_1880,33474.3,4200.59
SPB_1881,33467.1,4201.38
SPB_1882,33453.4,4202.61
SPB_1883,33433.6,4204.06
SPB_1884,33408.2,4205.43
SPB_1885,33377.5,4206.53
SPB_1886,33342,4207.25
SPB_1887,33302.1,4207.54
SPB_1888,33258.3,4207.39
SPB_1889,33210.9,4206.79
SPB_1890,33160.3,4205.77
SPB_1891,33106.8,4204.34
SPB_1892,33050.8,4202.53
SPB_1893,32992.6,4200.36
SPB_1894,32932.3,4197.87
SPB_1895,32870.2,4195.07
SPB_1896,32806.5,4192
SPB_1897,32741.3,4188.66
SPB_1898,32675,4185.08
SPB_1899,32607.5,4181.26
SPB_1900,32539.2,4177.23
SPB_1901,32470.1,4172.97
SPB_1902,32400.2,4168.51
SPB_1903,32329.8,4163.84
SPB_1904,32258.9,4158.95
SPB_1905,32187.5,4153.85
SPB_1906,32115.8,4148.52
SPB_1907,32043.8,4142.96
SPB_1908,31971.6,4137.15
SPB_1909,31899.2,4131.06
SPB_1910,31826.7,4124.68
SPB_1911,31754.2,4117.98
SPB_1912,31681.7,4110.93
SPB_1913,31609.3,4103.48
SPB_1914,31537.1,4095.59
SPB_1915,31465.1,4087.2
SPB_1916,31393.3,4078.27
SPB_1917,31325.1,4068.73
SPB_1918,31174,4057.81
SPB_1919,31099.2,4046.38
SPB_1920,31091,4034.48
SPB_1921,31154.8,4022.4
SPB_1922,31180.1,4009.52
SPB_1923,31123.3,3995.29
SPB_1924,31069.4,3979.86
SPB_1925,30952.7,3962.33
SPB_1926,30847,3942.75
SPB_1927,30754.8,3920.83
SPB_1928,30601.2,3895.74
SPB_1929,30467.6,3867.7
SPB_1930,30290.6,3835.95
SPB_1931,30159.2,3800.82
SPB_1932,30031.5,3761.93
SPB_1933,29834.1,3718.57
SPB_1934,29634.8,3670.67
SPB_1935,28966.2,3613.63
SPB_1936,28351.6,3550.31
SPB_1937,27967.3,3481.62
SPB_1938,27262.8,3402.75
SPB_1939,26452.5,3314.55
SPB_1940,25406.6,3215.57
SPB_1941,24523.6,3108.28
SPB_1942,23906.2,2993
SPB_1943,22815.9,2865.52
SPB_1944,21784.2,2729.42
SPB_1945,21312.4,2592.4
SPB_1946,21000,2457.83
SPB_1947,19889.1,2323.7
SPB_1948,19164.3,2201.2
SPB_1949,17558.5,2076.28
SPB_1950,16017.1,1951.76
SPB_1951,14333,1828.95
SPB_1952,13620.9,1719.59
SPB_1953,13025.4,1617.68
SPB_1954,12627.1,1524.45
SPB_1955,11834.6,1434.78
SPB_1956,11213.9,1348.64
SPB_1957,10817.4,1255.09
SPB_1958,10112.9,1143.65
SPB_1959,9535.54,1021.16
SPB_1960,9281.75,897.54
SPB_1961,8841.99,776.871
SPB_1962,8102.84,674.127
SPB_1963,7482.05,606.521
SPB_1964,6911.65,575.059
SPB_1965,6801.59,578.733
SPB_1966,6905.42,600.947
SPB_1967,6968.18,620.065
SPB_1968,6905.22,624.744
SPB_1969,7001.69,618.525
SPB_1970,7278.06,603.922
SPB_1971,7522.75,581.141
SPB_1972,7855.68,552.742
SPB_1973,7851.8,518.265
SPB_1974,7838.59,482.472
SPB_1975,7156.07,438.448
SPB_1976,6387.26,394.546
SPB_1977,5864.83,353.511
SPB_1978,5529.4,317.318
SPB_1979,4758.72,285.245
SPB_1980,4005.86,264.46
SPB_1981,3708.09,253.718
SPB_1982,3548.36,245.276
SPB_1983,3315.09,236.856
SPB_1984,3149.74,224.579
SPB_1985,3187.97,209.046
SPB_1986,3217.81,189.938
SPB_1987,3050.93,170.098
SPB_1988,2668.74,153.84
SPB_1989,2484.03,144.129
SPB_1990,2342.75,137.451
SPB_1991,2190.13,131.174
SPB_1992,1802.77,124.51
SPB_1993,1667.48,125.62
SPB_1994,1817.45,134.525
SPB_1995,2281.49,146.339
SPB_1996,2694.58,154.113
SPB_1997,2794.89,154.458
SPB_1998,2676.31,152.277
SPB_1999,2760.7,153.171
SPB_2000,2971.32,154.304
SPB_2001,3014.09,152.789
SPB_2002,3057.77,154.749
SPB_2003,3322.72,168.381
SPB_2004,3962.12,188.651
SPB_2005,4349.84,200.949
SPB_2006,4129.32,205.138
SPB_2007,4050.03,209.522
SPB_2008,3744.11,218.417
SPB_2009,3546.09,239.674
SPB_2010,3387.88,283.381
SPB_2011,4305.87,360.396
SPB_2012,5825.95,478.055
SPB_2013,7710.86,633.466
SPB_2014,9299.9,796.027
SPB_2015,10289.9,937.052
SPB_2016,10511.8,1059.32
SPB_2017,10357.5,1180.49
SPB_2018,9963.62,1115.53
SPB_2019,9668.59,1142.17
SPB_2020,9509.41,1216.73
SPB_2021,9459.76,1315.05
SPB_2022,9474.07,1431.42
SPB_2023,9514.41,1563.67
SPB_2024,9558.03,1704.04
SPB_2025,9594.56,1842.19
SPB_2026,9621.48,1970.26
