LABEL,Value,StdDev
SPB_1900,146687,29706.7
SPB_1901,146402,29630.3
SPB_1902,146093,29550.4
SPB_1903,145751,29499.1
SPB_1904,145378,29470.9
SPB_1905,144972,29460.2
SPB_1906,144557,29457.9
SPB_1907,144133,29455.6
SPB_1908,143703,29447.3
SPB_1909,143267,29429.3
SPB_1910,142796,29399.9
SPB_1911,142289,29358
SPB_1912,141746,29303.6
SPB_1913,141166,29236.7
SPB_1914,140550,29157.8
SPB_1915,139896,29067.3
SPB_1916,139208,28965.5
SPB_1917,138067,28853.3
SPB_1918,136548,28732.7
SPB_1919,134536,28603
SPB_1920,133363,28464.7
SPB_1921,132388,28314.2
SPB_1922,131235,28152.8
SPB_1923,130397,27982.6
SPB_1924,129151,27803.3
SPB_1925,127891,27617.3
SPB_1926,126522,27423.7
SPB_1927,125316,27222.1
SPB_1928,123874,27012.1
SPB_1929,122579,26794.8
SPB_1930,121226,26569.2
SPB_1931,119735,26335.2
SPB_1932,118684,26093.3
SPB_1933,117565,25841.9
SPB_1934,116465,25582.3
SPB_1935,115071,25314.8
SPB_1936,113422,25040.9
SPB_1937,112023,24759.1
SPB_1938,110642,24468.4
SPB_1939,109334,24169.3
SPB_1940,107866,23861.9
SPB_1941,106671,23547.1
SPB_1942,105430,23223.3
SPB_1943,103738,22890.7
SPB_1944,101842,22552.6
SPB_1945,99859.2,22209.1
SPB_1946,97695,21860
SPB_1947,95489.4,21505.5
SPB_1948,94018.3,21146.7
SPB_1949,92398.6,20782.8
SPB_1950,90962.2,20419.9
SPB_1951,89692.4,20062.9
SPB_1952,88008,19718.1
SPB_1953,86917.9,19392.1
SPB_1954,86084.4,19089.3
SPB_1955,85136.5,18820.5
SPB_1956,84409.1,18598.5
SPB_1957,83541.4,18440.9
SPB_1958,83156.6,18359.8
SPB_1959,83581.4,18374.9
SPB_1960,84213.6,18511.9
SPB_1961,85139.5,18800.3
SPB_1962,87132.3,19258.2
SPB_1963,89645.9,19903.2
SPB_1964,93262.3,20743.3
SPB_1965,97759.2,21793
SPB_1966,103410,23053.8
SPB_1967,110708,22692.2
SPB_1968,116623,22845.4
SPB_1969,122407,23218.5
SPB_1970,126085,23713.7
SPB_1971,129356,24216.5
SPB_1972,132432,24881.7
SPB_1973,134230,26461.2
SPB_1974,139454,25739.1
SPB_1975,142418,25592.9
SPB_1976,141276,25291.6
SPB_1977,132894,24945.6
SPB_1978,130855,24614.1
SPB_1979,129830,24410
SPB_1980,122346,24112
SPB_1981,120419,23623.9
SPB_1982,118835,23268.1
SPB_1983,114082,22895.7
SPB_1984,111180,22585.2
SPB_1985,107978,22174.3
SPB_1986,103066,21580.1
SPB_1987,98263.9,20979
SPB_1988,94832.5,20558.2
SPB_1989,92958.2,20283.1
SPB_1990,91350,20033.8
SPB_1991,89999.2,19779.9
SPB_1992,88797,19594.7
SPB_1993,88626,19565.4
SPB_1994,88044,19419.7
SPB_1995,86756.6,19167.8
SPB_1996,84140.4,18740.4
SPB_1997,81207.7,18293.2
SPB_1998,79241.3,17992.2
SPB_1999,77759.4,17543.4
SPB_2000,74570.7,16981.2
SPB_2001,71065.9,16368
SPB_2002,70426.1,16181.1
SPB_2003,72244.4,16282.9
SPB_2004,74192.1,16520.4
SPB_2005,75199.9,16653.7
SPB_2006,74484.6,16562.8
SPB_2007,72608.9,16298.5
SPB_2008,69740.5,15802.9
SPB_2009,65697.6,15164
SPB_2010,60360.2,14422.9
SPB_2011,57637.4,14120.5
SPB_2012,54799.7,13767.5
SPB_2013,53841.2,13686.9
SPB_2014,53125.2,13579.8
SPB_2015,52000.9,13419.6
SPB_2016,54044.4,14105.9
SPB_2017,55001,14658.1
SPB_2018,56153.2,14442
SPB_2019,56843.9,14253.9
SPB_2020,57184.9,14240.4
SPB_2021,57277.8,14436.4
SPB_2022,57235.8,14813.1
SPB_2023,57173.3,15321.6
SPB_2024,57120.6,15904.5
SPB_2025,57100.3,16520.7
SPB_2026,57114.2,17146
