LABEL,Value,StdDev
SPB_1901,190214,68232
SPB_1902,190226,68245.9
SPB_1903,190237,68258.7
SPB_1904,190247,68270.5
SPB_1905,190255,68281.2
SPB_1906,190262,68290.8
SPB_1907,190268,68299.2
SPB_1908,190272,68306.3
SPB_1909,190274,68312.2
SPB_1910,190275,68317
SPB_1911,190274,68320.6
SPB_1912,190271,68322.9
SPB_1913,190266,68324.1
SPB_1914,190259,68323.9
SPB_1915,190250,68322.3
SPB_1916,190238,68319.3
SPB_1917,190224,68314.8
SPB_1918,190207,68308.7
SPB_1919,190187,68301.1
SPB_1920,190165,68291.9
SPB_1921,190140,68281.1
SPB_1922,190113,68268.6
SPB_1923,190083,68254.4
SPB_1924,190051,68238.5
SPB_1925,190016,68220.9
SPB_1926,189978,68201.5
SPB_1927,189939,68180.3
SPB_1928,189897,68157.4
SPB_1929,189853,68132.6
SPB_1930,189807,68106.1
SPB_1931,189759,68077.8
SPB_1932,189711,68048
SPB_1933,189662,68016.5
SPB_1934,189608,67983.7
SPB_1935,189556,67949.6
SPB_1936,189506,67914.4
SPB_1937,189458,67878.4
SPB_1938,189417,67842
SPB_1939,189377,67805.4
SPB_1940,189339,67769.1
SPB_1941,189303,67733.8
SPB_1942,189258,67700
SPB_1943,189219,67668.4
SPB_1944,189109,67640.1
SPB_1945,188952,67616
SPB_1946,188775,67597.2
SPB_1947,188770,67585.1
SPB_1948,188901,67581.2
SPB_1949,189010,67587.1
SPB_1950,189159,67604.8
SPB_1951,189372,67636.1
SPB_1952,189556,67682.8
SPB_1953,189889,67746.8
SPB_1954,190364,67829.3
SPB_1955,190887,67931.3
SPB_1956,191493,68052.7
SPB_1957,191786,68192.8
SPB_1958,192443,68348.8
SPB_1959,193148,68517.6
SPB_1960,193829,68695
SPB_1961,194482,68876.2
SPB_1962,195155,69056
SPB_1963,195936,69229.5
SPB_1964,196651,69392.3
SPB_1965,197381,69540.3
SPB_1966,197911,69670.3
SPB_1967,197868,69780.4
SPB_1968,197719,69866.9
SPB_1969,197036,69928.2
SPB_1970,197135,69961.5
SPB_1971,197055,69966.4
SPB_1972,196791,69942.3
SPB_1973,195917,69889.7
SPB_1974,194081,69809.8
SPB_1975,193168,69703
SPB_1976,191680,69572.9
SPB_1977,190888,69422.3
SPB_1978,189805,69256.1
SPB_1979,188837,69079.1
SPB_1980,187481,68895.9
SPB_1981,186446,68708.9
SPB_1982,185043,68519.2
SPB_1983,183398,68325.7
SPB_1984,181155,68126.5
SPB_1985,178502,67919.7
SPB_1986,175663,67705.2
SPB_1987,173463,67483.4
SPB_1988,171458,67258.5
SPB_1989,169218,67036.7
SPB_1990,165731,66827.1
SPB_1991,162644,66634
SPB_1992,159961,66463.8
SPB_1993,157451,66322.2
SPB_1994,154669,66213.3
SPB_1995,152212,66135.7
SPB_1996,150769,66084
SPB_1997,149580,66056.5
SPB_1998,148571,66049.6
SPB_1999,147720,66062.4
SPB_2000,147177,66094.5
SPB_2001,146679,66144.5
SPB_2002,146395,66203
SPB_2003,145965,66260.2
SPB_2004,145493,66309.2
SPB_2005,145047,66352
SPB_2006,144680,66398.5
SPB_2007,144319,66458.5
SPB_2008,143841,66532.6
SPB_2009,143121,66614.2
SPB_2010,142330,66693.7
SPB_2011,141628,66764.1
SPB_2012,141166,66823.8
SPB_2013,140753,66878.6
SPB_2014,139022,66037.5
SPB_2015,137341,65208.8
SPB_2016,135719,64396.2
SPB_2017,134154,63597.8
SPB_2018,132634,62809.7
SPB_2019,131153,62028.2
SPB_2020,129702,61251.4
SPB_2021,128282,60479.4
SPB_2022,126893,59714
SPB_2023,125538,58956.8
SPB_2024,124217,58209.4
