"Area_km2","E_km","N_km"
81.206735088,426.550526042158,4379.12027543136
147.514697336,515.414667860106,4137.33938371588
46.940753788,358.794243347014,5345.37137869473
89.518231128,422.366885972802,4355.14688547579
152,384.300167602888,5099.9970913146
88,671.154856937793,3919.23294952776
130.095880872,360.111036833037,5260.78123550213
108.109975148,386.000697403578,4558.3840680646
123.156235396,397.306683168515,5147.40202189257
101.9893504436,361.739622644823,4745.70144372982
174.393839196,752.674825327639,3787.37022259225
131.739074492,494.628475065148,4196.57285153688
120,396.294975203884,5013.19438003245
88.088583136,397.138452171782,4567.18975371388
75.176993988,361.569651932589,4722.72031305419
110.424262044,352.322197551779,5269.25625784233
88,352.650917815702,4865.1714367515
103.688237748,427.459558109052,4344.4127608806
111.804627004,373.984509710844,5112.7015124027
132.757247688,456.682077237424,4216.36478595985
199.846990488,680.000797487797,3883.36556426672
114.942360888,636.586983972628,3961.61394987942
72,359.438574668263,4859.07008509957
72,373.725342497651,4836.96779092008
66.710719832,594.790027580263,4066.24767445243
89.173308524,381.08378002333,4542.09698291832
151.495151344,684.23275287963,3896.41901462554
119.686091528,359.979999518957,4790.62841356153
80,373.341041529228,4992.73787969403
140,380.86798020519,5028.74072646648
68,380.580697880315,4826.66793041286
79.73350052,414.168807975498,5030.01539807148
77.355503492,754.403993847944,3810.89290780242
130.990671912,708.171981930984,3826.50516609522
100.88402982116,418.538768366967,4307.46823481455
45.380642692,334.476815396747,5364.08341300651
80,380.951823202264,4836.56181725692
56.941737084,404.103074068171,4422.80182977876
153.366068332,309.706845538037,5345.52220904724
126.38090566,441.934616515824,4268.90441135891
129.460357636,412.500330395334,5085.23816978837
135.141258548,415.840376117689,4341.2224505984
114.559199816,462.702585691817,4197.02667088914
65.026831792,367.178888759757,4988.23471255708
136,368.552842085288,5218.08968179942
137.441063316,700.785004436964,3881.5846805869
86.058615212,416.547239336568,4373.42359292607
109.618420456,591.673769154123,4029.33627255769
212.736512132,578.959219115962,4079.060328224
105.734322592,356.796506287734,5189.54888955868
108.981554504,375.903814878722,4716.92002528201
149.543374648,382.488626669913,5231.04505451962
60,385.829811660815,4568.18695942336
104.579821752,629.470659638823,3981.57679547121
125.051576724,657.967221073245,3921.70928756715
102.93526972,345.103796496219,4880.71187931469
120,361.556667599761,5270.9546662375
108,357.572596303072,4760.80570208906
75.469131552,421.719797834303,4362.09699798301
120,376.096011340801,5209.22387544196
119.994872632,364.278637601943,4972.20288304571
153.51997746,377.946481175118,4794.70524550476
68,401.525629637474,4980.02392909016
100,374.459000136876,4974.48695055132
118.539205008,344.280643689883,4887.74784873879
88,347.28172300401,5308.37449002343
80,399.18571143599,4972.18261695317
81.515061888,705.183297180005,3867.61876089747
131.620751512,381.185240846989,4926.36062006759
116.64121424,409.500787088586,5000.63369679403
132.302264832,388.314973596462,4592.00374389281
110.91385223248,449.894760560271,4248.48202038206
63.155736752,345.39737945568,4750.61513350711
136,387.439298272879,4880.28683775897
151.673660828,757.57472449675,3802.28669204966
97.000595204,389.95961566602,4529.80347470651
100.250280628,406.570332131959,4963.5373790289
126.3193698,352.172554628796,5204.68492855933
126.44797306,372.311750085305,4491.76375389777
137.500860248,479.957161364001,4250.64029698544
104,379.156382574516,4964.18335484314
116.385457368,397.688565657448,4861.74644699933
128,383.932254627386,4891.87983054848
113.845758036,371.447594087032,5104.12095086329
87.467309256,388.260231429705,5128.69806997621
113.190146596,370.862893821544,5279.54397184186
116,696.45508773008,3843.64737617666
100,340.036529852115,5325.63444740571
132,380.565127036773,5075.10766954018
84,407.679781845858,5036.74697812002
100.758181256,334.484888802572,5357.26253955525
80,369.701458120995,4684.98996773979
0,299.131894707906,5362.3732724778
107.078671176,380.235094682628,4533.37436914004
408.282635412,726.762760441028,3786.22710606125
55.68500524,410.244611016845,4975.79039315135
125.690513116,689.98206234374,3835.53605452921
89.719967248,356.697363915856,5336.66553530003
136,480.081972977643,4225.78820973166
56,370.564221401287,4830.69167853075
136,371.65515951042,5093.38440622755
87.436362012,414.788270207181,5020.68672632406
100,796.537161781118,3790.38961968157
118.522815104,370.067070828943,4758.34517016917
150.927504972,487.732851510015,4177.88656553936
141.731352724,542.191736024142,4123.27428230097
166.4837115,409.818284619563,5102.43706619318
148.803292876,370.771695686131,5019.18840679621
177.306460528,817.545468606794,3793.99153644803
156,392.7716332062,5049.07284897249
168.877928464,360.53779956934,5365.94840767649
72,391.037629619065,4972.62224216574
104,386.363337884871,5167.31547456664
99.249732912,384.14938759206,4641.94874275719
160,401.700252545617,5079.78268148296
