"Area_km2","E_km","N_km"
143.673757268,353.350519123072,4938.81870049647
196,384.12784416094,5176.41219763591
75.610925696,352.465157768422,5186.69623626844
133.65336576,397.222100876969,4909.92390243456
94.980627124,340.489830141426,4900.45173049749
128,468.631387879104,4212.59861172962
0,359.442726302759,4436.96299368661
134.36611078,569.80929373552,4085.44157017438
63.515495984,343.349832340994,4782.11142082899
0,347.648897551514,4432.85873336571
107.533269388,355.639489442162,4974.01615647428
0,336.368199491935,4640.14242993653
160,400.073195040486,5010.59686613266
17.02571398,291.211764483518,5324.94886858035
123.57650212,369.549351295135,4670.91276810023
130.353128936,399.834610614501,5162.3048060355
0,727.490924019016,3724.3329008043
169.58332688,488.069873998186,4214.61831992272
80.359081756,353.672531179754,4814.22076432411
0,914.782430202936,3555.02615768084
130.496736492,529.450882098956,4100.38110941133
6.0873172,573.565618752141,4008.31756096841
116.056990484,400.251675159107,5119.65631773297
142.048018368,463.659591142512,4267.42786923791
199.290461808,370.769234598486,4714.33578687274
92,466.108231626521,4221.70047605231
0,955.326249959474,3645.55968442529
156,389.264483692799,5158.22863676899
158.901866788,373.735242585679,4768.40438631347
0,281.313030827577,5415.68433867485
144,390.422958058205,5014.4031691125
141.127574804,417.546723221765,4352.91169794693
7.533645476,892.327363862954,3762.75793709997
128,388.323929390675,4871.80013578423
152.499814532,542.91491340217,4092.58001097938
182.5608328744,386.156265736211,5205.54686141482
0,624.969517697956,3943.28888071083
208,316.709369403325,5331.75680307874
179.643730736,700.242092945794,3880.96213674297
172,378.040758847845,4963.94882194981
110.603012,589.248431121991,4053.72497951421
200,518.810951021598,4124.64792311708
50.993188728,572.94021989283,4070.85224758224
60.397354788,344.897752686441,4794.69759595744
0.142265148,364.482795691181,4570.3219235294
119.6963445,670.05572663055,3898.22140855213
126.476023824,351.671089196248,4773.27979561718
0,998.562976944894,3658.76081871228
63.429940344,418.90980273902,5094.64326010931
131.504615964,413.596397039644,5022.80153710345
174.420217976,368.255306976838,5022.3605678564
204,378.023991510866,5030.56866644832
0,246.565012033288,5446.41700049062
88,480.662467562668,4232.95252459696
298.201083564,392.482016314154,4585.50964489599
0,781.226129482529,3741.1913542406
0,318.032721584622,5403.51068521999
143.065933584,428.222950139933,4317.32752866169
136.45372985,398.197808852818,4890.00764836583
43.801795696,360.160264731113,5035.2782857751
152.095229752,342.992212589834,5361.22281769351
3.825241892,356.754239462317,4529.81881773565
132.589654436,414.321186914246,4409.67933329716
204,370.454914501343,5210.2648575471
4.599752044,743.76866590065,3757.3901519534
200,360.475966385378,4859.65797328768
106.129196392,506.156117032434,4195.38198480746
