"Area_km2","E_km","N_km"
348,385.337342958656,5064.76966760585
445.80248606,361.767045968734,4788.9580993689
285.168588624,355.567670530871,5343.72012207924
358.455179496,390.209829065628,5177.08310245271
200.145648444,457.206486072448,4219.70872976097
390.533701412,415.561104931969,4355.83241316178
356,376.434373611888,4897.41605809506
424,380.553594270613,4955.1900855363
272.969686630611,369.557667863744,4464.91111348704
336.82830342,356.772974266803,5208.26106992098
0,975.446726778013,3708.6512447722
1.063331728,340.231814019887,5189.31764796484
0,788.216402521568,3723.15306963465
248.67416838,489.086126646386,4179.45532115842
397.4042344,408.384976981164,5011.71193407054
268.363353812,412.113840477088,5081.4053669528
0,593.498968774433,3955.66986833427
231.426399452,401.484649929448,5116.54237246007
216.858540244,639.237417516021,3885.52014759879
56.054700372,354.505540651132,4996.0577447613
35.590655248,364.305090352707,5154.06193969797
254.795069924,492.030953791327,4229.34699583374
0,314.888258136578,5270.35360499874
0,243.064772275191,5447.76950785147
232.362031248,313.640687534515,5351.37746379224
0,981.35156139455,3636.31309531141
0.378658128,752.203302207006,3753.04110251701
182.0015148384,473.843487224344,4191.37290342442
0,628.704472531719,3931.70311362456
308,361.054488062267,4886.09839311657
0,268.249145829382,5398.43116315462
378.30893352,464.615190920003,4261.07536895218
226.86531278,395.788544676064,5131.54414732992
280,311.138251519095,5333.84056812447
323.3387743584,386.152162282212,5196.19900081248
274.321104976,347.046019143839,4752.17891113505
288.601221112,772.379868745366,3807.1075735409
269.883750628,358.003387129726,5307.49737660081
229.495492588,860.88934968693,3769.11213662624
302.415844004,458.609572235444,4236.85264491221
0,345.328340450274,4607.70027104553
213.1141966064,399.007598236467,4882.92495321394
252.958513308,503.549426851622,4175.96399721856
257.09101298,411.664975162118,5099.3784969412
240.854674564,530.772840730558,4100.82882705058
7.486255064,350.93490444909,4442.50324799485
0,312.786934410561,5287.19214195101
278.60556196,639.664932604278,3953.33218673248
276,398.734758136366,5081.68709583827
376,376.672417494084,5048.63882863897
181.337563796,464.098198901029,4197.19151936557
360.034544704,372.884918321835,4989.65025515632
191.485073272,328.721659310121,5304.44525120353
433.069606648,409.4826164392,5062.20794452892
0.088787616,352.276874036479,5125.25492748224
392,377.584325728084,4917.91783824466
177.989467584,492.009523270904,4198.27358045691
330.061800596,365.411290841367,4488.67102973624
471.707560376,359.450591393717,4965.48004986081
245.400330608,658.435973756105,3874.4028023147
0,363.255935825776,4425.96915474045
348.788974936,596.14520007548,4065.86643310038
324,391.669308372816,5012.47881924642
318.433284092,361.528718565471,4753.87713206552
251.62168051248,449.566376006831,4251.55351743296
236,371.74918275306,4878.78040387856
13.053487444,347.092299181806,4674.85560650593
0,756.899181962055,3723.93043060644
344.13113204,396.562882784459,4918.41797830934
300.886733524,362.266973492147,4808.84559059947
333.128517752,370.286507440293,4826.54746677784
153.90767170616,363.051256206626,4656.91769597455
411.796593768,674.036337360156,3900.59147909947
235.620216552,403.836971434647,4416.29359746336
355.4995625596,364.256667604198,4730.36757383731
0,922.495848473192,3620.03775558841
147.578755508,606.668117326613,3995.39280746993
357.421271808,699.546028403316,3828.47934593875
408.745969836,513.325155448396,4126.80730603722
120.58420782,496.502780161024,4137.97110921674
23.453178052,342.105209481037,4976.62468929883
378.975242246,387.764194252258,4827.39528109368
0,790.5932532725,3742.52987096721
23.791050372,331.971555358752,4454.84161664591
0,916.916066630799,3749.09386276724
479.074689276,792.196814445087,3796.69892112957
0,695.813642790806,3789.86937136202
47.928022064,362.633669913864,4536.4152922287
167.8647428,410.790758149711,4331.07410115965
144,483.491953875688,4192.46056115242
181.381968732,376.651394574701,5119.89102064586
0,773.922876297329,3691.68891102788
0,1022.31758861941,3663.8160594014
356,391.024360008445,4994.26405343087
459.216351012,686.042815404179,3885.66737585827
248.2229098,503.692457350285,4192.5016882256
10.874667548,337.73794730956,4913.5497724904
0,304.580225263585,5405.65031808827
443.688113356,435.356089241252,4289.31610723972
310.017439984,349.595563307941,4904.21484620021
256,384.945188772899,4881.30069249995
350.7776822152,385.269949037302,4547.22094541931
0,1000.82765876348,3693.00183745022
282.354462888,485.391044850405,4216.38175338227
240.634514312,358.132159450714,5183.13976737393
9.309847816,898.264512530184,3763.13422960724
611.676381392,810.144732124765,3791.6849030016
368.248737772,357.5164581271,4941.78078083391
291.097208368,310.242925968658,5316.09826798835
0,955.176131947095,3719.84300327689
0,217.871047974232,5452.6318493302
324,393.714215868024,5032.31541874275
213.037939744,397.341561369803,5144.1357921598
256,343.619708582683,5307.6707776916
324,370.898850857296,5193.9656323985
316.06734942,370.781398503925,5173.4822889842
446.295863808,384.065442671776,4528.71438771569
356.990175104,377.581501997839,5231.95785390725
0,333.134154440122,5387.45988643524
412.96943476,687.378567092731,3848.0624473721
438.70331824,398.35813337044,4940.36595844813
312,378.477663498236,4863.02353388475
338.291248064,393.363776468713,4901.01455523703
252.808082328,343.810134850191,4884.41554038807
333.167657368,777.840946198427,3780.55034695877
266.96926162,366.264230474367,5067.21723331425
0,906.870716787202,3661.63504544869
336.466360568,373.987263023015,5010.23097992013
0,354.224430234556,4573.1006863079
432.838912652,406.445567783037,4986.92470181397
426.928972304,387.703007566941,4566.60019244713
291.732227204,382.33846348864,5214.14312908455
283.736196324,542.071748981569,4109.26373524908
319.780618444,477.782162367282,4249.30716883297
236,469.695985512558,4215.64848137886
175.914869764,653.466350575214,3913.54077248366
379.876457312,655.043458514781,3936.83802277434
0,333.985272766319,5056.33435582832
79.942029636,346.863489808819,4727.16673290115
0,959.316718649205,3663.60638795919
344,373.593311637405,4844.58512652489
0,901.683997395273,3566.59403220797
307.537872032,350.656039060928,5324.00080933754
325.316227952,392.170451504704,4845.91364593877
476.367194416,447.063489370446,4272.21736762839
292.254729408,395.803547610604,4865.01482248465
260.945645952,355.843776104357,4694.66898306017
176,479.45034279164,4204.29508262196
433.405084268,753.307786437741,3804.29211013895
290.610383504,551.154649709823,4096.73616465807
