"Area_km2","E_km","N_km"
0,313.383956095939,5268.81400483409
169.893820392,682.680122337097,3910.16877103275
0,601.937170497138,3975.15062682401
160,372.823559962931,5091.36113461224
18.251932248,352.522329585418,5101.78811973939
0,341.939423183811,4650.40670525361
186.966674412,372.035782042209,5034.61334850645
123.07273176,378.682996877512,5242.14805064066
245.40361026,377.260410637301,4797.1893211092
0.047997316,347.644495576622,5167.33615783705
72,359.873402872771,4945.22241649099
84,369.001007345558,5193.43490579248
273.534558172,742.815335791961,3793.35363819413
0,622.223317878572,3897.00005019996
0,402.653706352057,4323.90431651755
9.26788546,358.506562666668,4509.28850478538
58.037278728,496.711676532258,4141.23766011716
135.356263672,304.470815576216,5314.62365838222
136,380.232908393231,4965.45580382298
0,334.569878777312,5259.23959927439
156.41260024,342.806016967986,4890.83424276881
174.7139926,380.557545757909,4446.61816312035
160,386.462577309812,5083.25371521618
215.918310644,687.488905502834,3886.38818570333
0,614.349047181043,3963.64529597435
84,358.852535933714,4937.24787005583
168,381.519223310697,5028.92605714378
186.340126176,507.636776659035,4123.7797679168
0,606.369459851406,3930.61589642396
10.007953512,389.448792920417,4418.61315052431
136,359.804978564007,4917.59944458485
148,377.419659253505,4943.05612489101
191.495151344,682.416910120157,3897.39580156817
151.44207344,395.527343897465,4842.51831904862
144,368.072204589581,4971.82078371722
264.917247316,804.376731479141,3778.31327370525
132,399.631740513096,4982.26791744872
0,341.165754058017,4673.56239500643
123.126981214,398.485442713374,4889.88145315138
85.368373944,360.734350253986,5092.78756811206
18.249318252,290.764893448037,5346.95168731565
85.66400452,413.441138342102,4370.61493976003
108.933076332,715.903611517411,3820.84079585242
115.228263988,375.365249165777,5128.56934005689
70.799993764,386.437869093449,5216.30451795563
72.961102196,374.463729808033,4579.30919411034
148.76908182216,365.260412076038,4658.26409539434
170.956567036,360.10203502049,5266.43473074446
190.439392256,348.007692586509,5365.61013263358
86.750142328,343.001013551174,5270.14139350708
144,388.434416092153,5137.40146792277
196.314053564,529.098339231818,4102.98761974669
92.632961836,632.539350895811,3973.31566397326
4.862014772,335.924780226391,4907.79043924602
503.910655664,728.398847904279,3789.43379578969
176,403.356414770521,5063.64239491749
134.36611078,569.839768028592,4086.00497908347
112.0417896792,383.213819992319,4548.03878862171
152,393.647146545747,4995.96018964178
63.037892952,427.59766513801,4286.87820065701
0,326.732890364825,5276.37407582175
154.802586968,388.252612045607,4558.32009923075
128,387.361230769546,5103.30668150842
0,347.436394172515,4997.78106541519
133.059919172,398.124359558211,4860.54703363453
81.82760916,367.817674008702,4731.21832852613
97.719967248,356.786970963931,5336.79677413128
217.857370996,505.041690231368,4181.28560579956
0,677.690474241431,3822.24209403898
0,338.346081470928,5191.84032263391
168,375.762940564607,5054.28390561191
152,481.997214914232,4210.66929902724
0,338.790973768211,4815.61902929327
176,395.134200338428,5096.53615359432
84.756934688,652.526990458097,3930.78287813138
1.667546616,357.415519016724,4529.34475197062
195.328660688,465.577459014614,4264.84898256023
172,374.353891430762,4850.0852295265
0,333.842118590682,5177.08590557791
175.575174532,674.862030776863,3880.40093566982
176.449137072,690.595714636002,3838.44975393208
56.487151712,349.286188650514,4960.4416151882
116,332.450968584048,5335.12265223962
228,357.354083035421,4863.79216574224
202.020888352,558.308875162365,4090.74965017253
87.591546,633.828021459063,3962.91902633512
5.841104988,656.920340939647,3884.10150809425
152,388.014300407065,4847.24161426939
0,354.470008273048,5132.32964502934
158.134797264,363.523114918544,4675.34598866062
138.960395532,331.479059548074,5306.48153525271
160,384.979413817491,4880.55432736786
0,347.706795087163,4581.09246922992
0,331.140622271762,4935.75715005428
8.699224384,572.159861026697,4023.67230813024
134.481594136,355.993805640585,5315.5174011563
193.188350284,325.24509514425,5327.17314440693
138.125346912,497.03104849854,4167.06415788855
184,399.788531588432,5010.32391796625
0,311.563126535377,5286.43074774651
118.509462568,388.926149589271,4612.63670552958
0,333.277949339567,4980.34649066739
140,382.182870954243,4891.36179786568
220.176530732,536.408983836981,4130.90422533084
236,687.806186298599,3867.64541428868
148,349.751504920429,5354.15070684308
158.158063932,775.612080294549,3807.5757015965
183.177356588,394.075625779919,4567.94940505481
139.267967716,425.985639963615,4378.77555509863
106.25501088,349.049081160256,4734.22582944869
131.75368036,391.984240919354,4545.38238440999
125.2116239084,398.587215835072,4879.75850518325
100.562061448,363.221318620349,4993.94035011986
123.173378052,400.600728199912,5120.22849576143
168.85553044,705.791859058962,3850.16540880457
70.506325776,360.745297883883,5243.12780427968
119.84264236,356.552192899621,4811.24457786898
106.767121548,368.225188086825,4489.85381752369
138.742376892,512.990906150865,4134.53926685083
104,379.514651297402,5193.92253686705
143.06297986,353.431279899028,5204.0177417933
243.93268214,488.881657341956,4181.71463793177
141.341839784,361.602857883679,5175.12688405643
73.454270232,638.082211053299,3888.44027854985
148.721582856,493.001971255002,4229.27599871657
147.82005122,374.069463333111,5273.6874545984
148,356.453268464902,5290.27909812905
0,594.902716687225,3991.07493190697
123.494157528,363.585276506431,5304.44580893681
125.901826952,352.042316161079,4926.54122692397
28.234825668,632.330805373351,3872.08143072734
77.827551116,595.09759371478,4007.53580018025
87.680871548,362.504674938078,5063.85871179036
165.378870748,421.114759499665,4398.43241813366
92.609446908,358.480715741501,5231.26615707202
120,344.086484591674,5308.44668164062
168.88186462,763.330991275613,3806.03908528621
74.750661356,414.106705401854,4337.79758466435
152,363.594744486074,5277.30385379139
212,361.253825561578,4788.9981889936
0,635.364965119263,3905.63879571363
126.808077268,377.596592677588,5161.05412939646
4.50797226,650.684775981236,3835.05981111657
159.238334892,590.292314426463,4026.67678973537
164,521.858715474629,4140.53272158203
0,559.841563193547,4023.71595635619
181.131146712,410.139077321419,5012.11365116379
143.161386968,414.248719697133,5056.62943364013
182.3933865764,371.738041244661,4693.80037879408
0,337.504154909527,4917.88232622167
150.249775732,367.670667864936,4707.63872482452
178.507704056,738.302104549688,3806.25593250216
137.999702172,677.384886788648,3919.33688242778
79.644825732,352.849262072181,4950.38799285982
105.43631088,399.61731922954,4915.23901516125
111.801328032,365.045666200557,4478.6350460458
244,308.462566587007,5331.29605928403
160,378.134293600019,4978.41386186051
170.164984704,402.5759456478,5111.16221588879
0,326.345402149631,4457.1538250846
33.649135208,345.166916394391,5234.68873785407
140,387.418048224893,4986.78424209017
156,470.585316577051,4205.84911708475
0,357.603549777752,4437.56002865877
112,340.768704047894,5343.73490017774
112.61532932,830.003638109886,3786.5871024454
190.371240776,374.45474857351,4767.73670703484
144.836256298611,374.32080103617,4465.78995161285
121.847248276,428.410405554404,4317.63613166924
196,377.369679235358,4824.90620889492
116.43536256,352.44502589665,5269.790923734
120.269875648,352.628727632603,5326.45567527102
144.874874836,668.974329020605,3926.34809892361
220,364.251752461144,4891.19635329959
75.167217696,606.119118573042,4003.30940013495
190.395379076,311.147582292448,5343.09555790428
0,670.834995843308,3830.12271729207
100,372.274245818032,4958.41394274538
100,373.835551141519,5185.8626944822
136,482.128413949809,4234.24087176602
56.115375928,410.841300506582,4385.28659832515
0,482.84188342972,4140.15873740635
189.055100672,363.71741763643,4845.11907201641
99.791466444,366.433070110008,4985.20267356829
1.492370052,352.787950665057,5015.05852531027
0,629.128192159368,3945.7500594259
182.081197748,580.88260346639,4080.93160297091
125.431484992,378.191874643287,4511.51835105595
213.05995992,541.079220667431,4096.79322448275
148,471.368464971217,4234.42838477005
186.172513664,664.729872046193,3914.5780444375
92.319330268,585.817990945548,4041.89956083925
116,367.319650627041,5234.2341291483
180,370.31142858153,4909.74567546204
92,346.678721989805,5320.77158132726
115.045194952,390.848405610407,5122.86360306141
113.194378316,345.370325578138,4788.24586929343
234.355436972,478.260943783701,4192.44649006633
138.842771152,393.779497781027,4934.94410317431
108,369.105479164188,5220.07560283123
109.749799464,403.030868711958,4946.5646978197
124.712412848,391.319550047994,4530.95408725089
150.590064296,523.272549449221,4154.04089668704
104,436.721848324459,4288.77270470931
168.9507779,599.476980228762,4071.54407172333
138.473503332,446.726256792312,4252.58271996126
154.6153407,388.023324255889,4602.45239772223
111.082644436,662.382606551612,3935.59297329637
140,350.812550939633,4750.59777695104
0,490.637378680041,4125.9019857917
4.504261004,342.290174173717,4801.38893270547
