"Area_km2","E_km","N_km"
153.058066276,395.571535080375,4907.94628319456
173.221724824,358.856492904995,4963.25137977546
242.674864324,688.288123359786,3886.09151217778
124.742477448,761.336105486816,3799.21971959104
157.627836516,367.238277766499,4711.01658668505
156.998345064,310.067761937895,5344.14830871731
144.5574934,519.311995303441,4156.54038369814
0,337.79945099772,4617.18700239907
211.276213216,358.324716987722,5305.00090158401
51.731545464,361.374870498711,5011.17447658413
171.643533632,408.295688554415,5046.99647450743
116,375.687561060177,5217.02747293104
134.884101608,852.732401334407,3768.88826647538
0,787.410506438264,3757.94955194969
196.826138564,380.598230405413,4446.46022976238
143.426399452,402.192584459749,5118.87721781472
61.361830108,355.011902013713,5099.36859473903
112,345.65202946372,5321.32805765818
232,396.445058934593,5067.12969361475
136.289962284,349.651587593225,4749.58507433911
132.706889524,403.778274466228,4947.32886261198
0,335.152246692335,5185.48201753991
0.00042972,352.768849703446,5081.53406449341
130.004378236,427.050504670063,4317.75472252348
8.300020124,491.573528706873,4140.77583679097
160,387.807881888266,5020.18861709231
95.242565548,360.815935510647,5354.56335574304
169.034073744,364.115248197575,4843.96202349279
0,623.784131273634,3935.2436921924
0,947.121246185509,3721.8131161734
0,943.210279227946,3689.96675663832
159.67614372,375.42409336804,4675.83258139266
0,336.598326299461,4653.4779580795
0,400.734305511131,4355.32895950242
0,695.38308640861,3785.29954943732
206.588309884,381.526359220355,5159.5272579909
179.920674828,594.820826615389,4063.48696338268
0,327.662455863647,4459.79761581767
139.136754432,397.617817842694,5140.80762956698
0.725552768,364.899189390713,4624.29975913946
117.453897824,372.461204087314,4508.33945846017
120,376.18800883905,5208.56631812105
0,789.887195211609,3725.85337773216
148,349.897902860919,5353.64309691014
212,378.093254113598,4957.77137383342
156,316.386166601441,5333.46129038752
176,374.023804100232,4850.70971039507
164,374.251841621795,4980.67651586151
155.714291064,417.094579437761,4327.26170850491
139.22824074,600.259393846849,4072.45210458249
196,360.43621656599,4881.29534583982
130.673615536,351.093047388956,4790.7253683078
95.269076284,384.127946998061,4641.82354816831
49.096208472,527.716430320272,4097.09707684255
34.24743933416,362.280454239491,4657.07195402858
311.823527644,759.360889046928,3780.12310841655
8.19817496,358.506562666668,4509.28850478538
104.274037508,596.738305499291,4002.20051280152
190.76505502,412.957583528786,5068.01069015208
0,1026.01409721025,3667.43615411675
207.15762146,412.720548019921,5083.45088648102
151.56361442,451.410875526369,4257.59515531397
175.065265248,379.196116316096,5247.76165207323
293.586272408,808.663781976131,3795.18777690947
139.94855986,304.334684729117,5332.29217253972
103.528457016,513.061108196115,4107.65344547645
116,445.507609611235,4268.99002017507
201.694892268,385.982998281484,4918.63268195152
173.057124576,690.958718028269,3836.96646174722
184,383.644340184862,4583.74480368506
223.96898306,680.287344812404,3916.29965155627
78.927042512,295.573895408991,5334.6212571799
211.585548024,361.370842151984,4951.81382039838
53.18237774,345.635993934437,4452.3012876291
0,350.674130106677,5117.81353049006
0,1011.93689323496,3643.70668295213
138.620595464,513.714704719472,4134.51356488308
155.681836704,389.047644843518,4546.55150902177
124,357.464657547796,4760.50274233863
0,357.034130504696,4636.26706499658
18.269022108,653.71253720028,3836.69875544877
148,373.43944900907,4883.23225744988
152,388.098819268559,4897.78144528637
120.754476448,320.565635430833,5318.47260112288
184,376.01455314978,4898.18393727607
186.622032816,371.283904206757,5173.70944470549
176,367.357898359597,4869.92877505909
0,947.040071616857,3660.82729519583
67.7403464472,379.008494859277,4550.04086978219
156.446603492,669.838071043572,3854.82452482349
0,343.302951347868,4633.2522030267
109.402974812,410.818824242868,4982.43147492075
238.629676224,793.077949522231,3790.95657701496
154.668239064,670.607530602301,3900.08092403655
111.441601072,340.923376550489,4893.78798134871
313.051642572,822.516158732657,3787.12602392222
101.229809976,379.257867729094,4512.79578813962
156,393.431405109897,4966.65919820821
176,371.317587321563,4970.98853722507
0,998.576599954077,3659.16155906384
40.19214554,345.991502861632,4956.18185878089
208,364.350182838316,4891.85609093732
0,928.634754839649,3628.54875669546
100.109503952,375.738007482011,5127.4312546451
